# scenario=step-free
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0.01165,0.5,0.494631,0.00111689,-0.193304,3.74981,18.6153,1.06254,0.229456,0.770544,0.526565
0.0117,0.5,0.494631,0.00111711,-0.194288,3.75453,18.7048,1.0728,0.229287,0.770713,0.531483
0.01175,0.5,0.494632,0.00111731,-0.195272,3.75926,18.7943,1.08312,0.229149,0.770851,0.536433
0.0118,0.5,0.494632,0.00111752,-0.196256,3.76398,18.8838,1.09348,0.229042,0.770958,0.541414
0.01185,0.5,0.494632,0.00111772,-0.19724,3.7687,18.9733,1.1039,0.228968,0.771032,0.546426
0.0119,0.5,0.494633,0.0011179,-0.198224,3.77342,19.0627,1.11436,0.228926,0.771074,0.551468
0.01195,0.5,0.494633,0.0011181,-0.199208,3.77813,19.1522,1.12487,0.228916,0.771084,0.55654
0.012,0.5,0.494633,0.00111829,-0.200193,3.78285,19.2417,1.13543,0.22894,0.77106,0.561641
0.01205,0.5,0.494634,0.00111848,-0.201178,3.78757,19.3312,1.14604,0.228998,0.771002,0.56677
0.0121,0.5,0.494634,0.00111867,-0.202163,3.79229,19.4207,1.1567,0.229091,0.770909,0.571927
0.01215,0.5,0.494634,0.00111885,-0.203148,3.79701,19.5101,1.16741,0.229218,0.770782,0.577111
0.0122,0.5,0.494634,0.00111904,-0.204133,3.80173,19.5996,1.17817,0.229381,0.770619,0.582322
0.01225,0.5,0.494635,0.00111923,-0.205118,3.80645,19.689,1.18897,0.229579,0.770421,0.587559
0.0123,0.5,0.494635,0.00111941,-0.206104,3.81116,19.7785,1.19983,0.229814,0.770186,0.592821
0.01235,0.5,0.494635,0.00111959,-0.20709,3.81588,19.8679,1.21074,0.230086,0.769914,0.598107
