# scenario=calib
t,state,theta_e_cmd,v_d,theta_m_enc,mech_accum,id,iq
0.346001,2,0,4,1.23485,0,0.714254,0.006488
0.347001,2,0,4,1.23485,0,0.714254,0.00642168
0.348002,2,0,4,1.23485,0,0.714255,0.00635604
0.349002,2,0,4,1.23485,0,0.714256,0.00629107
0.350002,2,0,4,1.23485,0,0.714256,0.00622677
0.351002,2,0,4,1.23485,0,0.714257,0.00616312
0.352002,2,0,4,1.23485,0,0.714257,0.00610012
0.353002,2,0,4,1.23485,0,0.714258,0.00603777
0.354003,2,0,4,1.23485,0,0.714258,0.00597606
0.355003,2,0,4,1.23485,0,0.714259,0.00591497
0.356003,2,0,4,1.23485,0,0.714259,0.00585451
0.357003,2,0,4,1.23485,0,0.71426,0.00579467
0.358003,2,0,4,1.23485,0,0.71426,0.00573544
0.359003,2,0,4,1.23485,0,0.714261,0.00567681
0.360004,2,0,4,1.23485,0,0.714261,0.00561878
0.361004,2,0,4,1.23485,0,0.714262,0.00556135
0.362004,2,0,4,1.23485,0,0.714262,0.0055045
0.363004,2,0,4,1.23485,0,0.714263,0.00544824
0.364004,2,0,4,1.23485,0,0.714263,0.00539255
0.365004,2,0,4,1.23485,0,0.714264,0.00533743
0.366005,2,0,4,1.23485,0,0.714264,0.00528287
0.367005,2,0,4,1.23485,0,0.714264,0.00522887
0.368005,2,0,4,1.23485,0,0.714265,0.00517542
0.369005,2,0,4,1.23485,0,0.714265,0.00512252
0.370005,2,0,4,1.23485,0,0.714266,0.00507016
0.371005,2,0,4,1.23485,0,0.714266,0.00501833
0.372006,2,0,4,1.23485,0,0.714266,0.00496703
0.373006,2,0,4,1.23485,0,0.714267,0.00491626
0.374006,2,0,4,1.23485,0,0.714267,0.00486601
0.375006,2,0,4,1.23485,0,0.714267,0.00481627
0.376006,2,0,4,1.23485,0,0.714268,0.00476704
0.377006,2,0,4,1.23485,0,0.714268,0.00471831
0.378007,2,0,4,1.23485,0,0.714268,0.00467008
0.379007,2,0,4,1.23485,0,0.714269,0.00462235
0.380007,2,0,4,1.23485,0,0.714269,0.0045751
0.381007,2,0,4,1.23485,0,0.714269,0.00452833
0.382007,2,0,4,1.23485,0,0.71427,0.00448204
0.383007,2,0,4,1.23485,0,0.71427,0.00443623
0.384008,2,0,4,1.23485,0,0.71427,0.00439088
0.385008,2,0,4,1.23485,0,0.71427,0.004346
0.386008,2,0,4,1.23485,0,0.714271,0.00430158
0.387008,2,0,4,1.23485,0,0.714271,0.00425761
0.388008,2,0,4,1.23485,0,0.714271,0.00421409
0.389008,2,0,4,1.23485,0,0.714271,0.00417101
0.390009,2,0,4,1.23485,0,0.714272,0.00412837
0.391009,2,0,4,1.23485,0,0.714272,0.00408617
0.392009,2,0,4,1.23485,0,0.714272,0.00404441
0.393009,2,0,4,1.23485,0,0.714272,0.00400306
0.394009,2,0,4,1.23485,0,0.714273,0.00396215
0.395009,2,0,4,1.23485,0,0.714273,0.00392165
0.39601,2,0,4,1.23485,0,0.714273,0.00388156
0.39701,2,0,4,1.23485,0,0.714273,0.00384188
0.39801,2,0,4,1.23485,0,0.714274,0.00380261
0.39901,2,0,4,1.23485,0,0.714274,0.00376374
0.40001,2,0,4,1.23485,0,0.714274,0.00372527
0.40101,2,0,4,1.23485,0,0.714274,0.00368719
0.402011,2,0,4,1.23485,0,0.714274,0.0036495
0.403011,2,0,4,1.23485,0,0.714275,0.00361219
0.404011,2,0,4,1.23485,0,0.714275,0.00357527
0.405011,2,0,4,1.23485,0,0.714275,0.00353872
0.406011,2,0,4,1.23485,0,0.714275,0.00350255
0.407011,2,0,4,1.23485,0,0.714275,0.00346675
0.408012,2,0,4,1.23485,0,0.714275,0.00343131
0.409012,2,0,4,1.23485,0,0.714276,0.00339624
0.410012,2,0,4,1.23485,0,0.714276,0.00336152
0.411012,2,0,4,1.23485,0,0.714276,0.00332716
0.412012,2,0,4,1.23485,0,0.714276,0.00329315
0.413012,2,0,4,1.23485,0,0.714276,0.00325949
0.414013,2,0,4,1.23485,0,0.714276,0.00322617
0.415013,2,0,4,1.23485,0,0.714277,0.00319319
0.416013,2,0,4,1.23485,0,0.714277,0.00316055
0.417013,2,0,4,1.23485,0,0.714277,0.00312824
0.418013,2,0,4,1.23485,0,0.714277,0.00309627
0.419013,2,0,4,1.23485,0,0.714277,0.00306462
0.420014,2,0,4,1.23485,0,0.714277,0.00303329
0.421014,2,0,4,1.23485,0,0.714277,0.00300228
0.422014,2,0,4,1.23485,0,0.714278,0.00297159
0.423014,2,0,4,1.23485,0,0.714278,0.00294122
0.424014,2,0,4,1.23485,0,0.714278,0.00291115
0.425014,2,0,4,1.23485,0,0.714278,0.0028814
0.426015,2,0,4,1.23485,0,0.714278,0.00285194
0.427015,2,0,4,1.23485,0,0.714278,0.00282279
0.428015,2,0,4,1.23485,0,0.714278,0.00279394
0.429015,2,0,4,1.23485,0,0.714278,0.00276538
0.430015,2,0,4,1.23485,0,0.714279,0.00273711
0.431015,2,0,4,1.23485,0,0.714279,0.00270913
0.432016,2,0,4,1.23485,0,0.714279,0.00268144
0.433016,2,0,4,1.23485,0,0.714279,0.00265403
0.434016,2,0,4,1.23485,0,0.714279,0.0026269
