# scenario=haptic-endstops
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.21499,1.106,4.79482,1.13172,-0.00479482,0.00771478,-0.0605407,-0.0597747
0.21599,1.11061,4.71885,1.13646,-0.00471885,0.00775541,-0.0595815,-0.0620474
0.21699,1.11521,4.66283,1.14119,-0.00466284,0.00779386,-0.0588742,-0.0613595
0.21799,1.11981,4.5978,1.14591,-0.0045978,0.00783016,-0.058053,-0.0611793
0.218989,1.12595,5.00327,1.15063,-0.00500327,0.00740408,-0.0631726,-0.0605324
0.219989,1.13055,4.94691,1.15533,-0.00494691,0.00743601,-0.0624609,-0.0599259
0.220989,1.13515,4.88012,1.16003,-0.00488012,0.00746577,-0.0616177,-0.0605295
0.221989,1.13975,4.83088,1.16473,-0.00483088,0.00749331,-0.060996,-0.0598911
0.222989,1.14435,4.79457,1.16942,-0.00479457,0.00751866,-0.0605375,-0.0593848
0.223989,1.14895,4.74547,1.17409,-0.00474547,0.0075418,-0.0599176,-0.0590532
0.224989,1.15356,4.70927,1.17877,-0.00470927,0.00756269,-0.0594605,-0.0585613
0.225988,1.15816,4.65577,1.18343,-0.00465577,0.00758139,-0.0587849,-0.0611329
0.226988,1.16276,4.61632,1.18809,-0.00461632,0.0075978,-0.0582868,-0.0606749
0.227988,1.16736,4.58723,1.19274,-0.00458723,0.007612,-0.0579196,-0.0602717
0.228988,1.17196,4.54205,1.19738,-0.00454205,0.00762391,-0.0573492,-0.0603632
0.229988,1.17657,4.50874,1.20201,-0.00450874,0.00763357,-0.0569285,-0.0599236
0.230988,1.18117,4.48418,1.20664,-0.00448418,0.00764097,-0.0566184,-0.0595795
0.231988,1.18577,4.46607,1.21126,-0.00446607,0.00764601,-0.0563897,-0.0593245
0.232988,1.19037,4.45271,1.21587,-0.00445271,0.00764887,-0.0562211,-0.0591362
0.233987,1.19497,4.44286,1.22047,-0.00444287,0.0076493,-0.0560968,-0.0589972
0.234987,1.20111,4.88903,1.22507,-0.00488903,0.00718732,-0.0617302,-0.05889
0.235987,1.20571,4.86267,1.22966,-0.00486267,0.00718317,-0.0613973,-0.0587005
0.236987,1.20878,4.38981,1.23424,-0.00438981,0.00763689,-0.0554268,-0.058439
0.237987,1.21338,4.39648,1.23881,-0.00439648,0.00762806,-0.0555111,-0.0583497
0.238987,1.21798,4.4014,1.24337,-0.0044014,0.00761694,-0.0555733,-0.0584079
0.239987,1.22259,4.40503,1.24793,-0.00440503,0.00760342,-0.0556191,-0.0584567
