# scenario=haptic-curves
theta,free,spring,damped,detents12,detents_smooth,endstops
-3.04106,0,0.1,0,-0.0402123,-0.0138754,0.1
-3.03792,0,0.1,0,-0.041469,-0.0126653,0.1
-3.03478,0,0.1,0,-0.0427257,-0.0113833,0.1
-3.03164,0,0.1,0,-0.0439823,-0.0100365,0.1
-3.0285,0,0.1,0,-0.045239,-0.00863275,0.1
-3.02535,0,0.1,0,-0.0464956,-0.00718007,0.1
-3.02221,0,0.1,0,-0.0477522,-0.0056866,0.1
-3.01907,0,0.1,0,-0.0490088,-0.00416067,0.1
-3.01593,0,0.1,0,-0.0502655,-0.00261109,0.1
-3.01279,0,0.1,0,-0.0515222,-0.00104683,0.1
-3.00965,0,0.1,0,-0.0527788,0.000523535,0.1
-3.0065,0,0.1,0,-0.0540355,0.00209092,0.1
-3.00336,0,0.1,0,-0.055292,0.00364628,0.1
-3.00022,0,0.1,0,-0.0565487,0.00518106,0.1
-2.99708,0,0.1,0,-0.0578053,0.00668626,0.1
-2.99394,0,0.1,0,-0.0590619,0.00815361,0.1
-2.9908,0,0.1,0,-0.0603186,0.00957449,0.1
-2.98765,0,0.1,0,-0.0615752,0.0109411,0.1
-2.98451,0,0.1,0,-0.0628318,0.0122454,0.1
-2.98137,0,0.1,0,-0.0640884,0.0134803,0.1
-2.97823,0,0.1,0,-0.0653451,0.0146384,0.1
-2.97509,0,0.1,0,-0.0666018,0.0157135,0.1
-2.97195,0,0.1,0,-0.0678584,0.0166993,0.1
-2.96881,0,0.1,0,-0.0691151,0.0175902,0.1
-2.96566,0,0.1,0,-0.0703716,0.018381,0.1
-2.96252,0,0.1,0,-0.0716283,0.0190675,0.1
-2.95938,0,0.1,0,-0.0728849,0.0196456,0.1
-2.95624,0,0.1,0,-0.0741416,0.0201121,0.1
-2.9531,0,0.1,0,-0.0753983,0.0204643,0.1
-2.94996,0,0.1,0,-0.0766549,0.0207002,0.1
-2.94681,0,0.1,0,-0.0779115,0.0208185,0.1
-2.94367,0,0.1,0,-0.0791681,0.0208185,0.1
-2.94053,0,0.1,0,-0.0804248,0.0207002,0.1
-2.93739,0,0.1,0,-0.0816814,0.0204643,0.1
-2.93425,0,0.1,0,-0.0829381,0.0201121,0.1
-2.93111,0,0.1,0,-0.0841948,0.0196456,0.1
-2.92796,0,0.1,0,-0.0854513,0.0190676,0.1
-2.92482,0,0.1,0,-0.086708,0.0183811,0.1
-2.92168,0,0.1,0,-0.0879646,0.0175901,0.1
-2.91854,0,0.1,0,-0.0892213,0.0166993,0.1
-2.9154,0,0.1,0,-0.0904779,0.0157136,0.1
-2.91226,0,0.1,0,-0.0917345,0.0146386,0.1
-2.90912,0,0.1,0,-0.0929911,0.0134805,0.1
-2.90597,0,0.1,0,-0.0942477,0.0122456,0.1
-2.90283,0,0.1,0,-0.0955044,0.0109412,0.1
-2.89969,0,0.1,0,-0.096761,0.00957457,0.1
-2.89655,0,0.1,0,-0.0980177,0.00815369,0.1
-2.89341,0,0.1,0,-0.0992744,0.00668634,0.1
-2.89027,0,0.1,0,-0.1,0.00518115,0.1
-2.88712,0,0.1,0,-0.1,0.00364636,0.1
-2.88398,0,0.1,0,-0.1,0.00209101,0.1
-2.88084,0,0.1,0,-0.1,0.000523622,0.1
-2.8777,0,0.1,0,0.1,-0.00104674,0.1
-2.87456,0,0.1,0,0.1,-0.00261116,0.1
-2.87142,0,0.1,0,0.1,-0.00416058,0.1
-2.86827,0,0.1,0,0.1,-0.00568652,0.1
-2.86513,0,0.1,0,0.0988555,-0.00717999,0.1
-2.86199,0,0.1,0,0.0975988,-0.00863282,0.1
-2.85885,0,0.1,0,0.0963421,-0.0100366,0.1
-2.85571,0,0.1,0,0.0950855,-0.0113832,0.1
-2.85257,0,0.1,0,0.0938289,-0.0126651,0.1
-2.84942,0,0.1,0,0.0925723,-0.0138752,0.1
-2.84628,0,0.1,0,0.0913156,-0.0150064,0.1
-2.84314,0,0.1,0,0.0900589,-0.0160524,0.1
-2.84,0,0.1,0,0.0888023,-0.0170071,0.1
-2.83686,0,0.1,0,0.0875457,-0.0178652,0.1
-2.83372,0,0.1,0,0.0862891,-0.0186217,0.1
-2.83057,0,0.1,0,0.0850324,-0.0192724,0.1
-2.82743,0,0.1,0,0.0837758,-0.0198137,0.1
-2.82429,0,0.1,0,0.0825192,-0.0202423,0.1
-2.82115,0,0.1,0,0.0812625,-0.0205559,0.1
-2.81801,0,0.1,0,0.080006,-0.0207528,0.1
-2.81487,0,0.1,0,0.0787493,-0.0208317,0.1
-2.81173,0,0.1,0,0.0774927,-0.0207922,0.1
-2.80858,0,0.1,0,0.076236,-0.0206346,0.1
-2.80544,0,0.1,0,0.0749794,-0.0203597,0.1
-2.8023,0,0.1,0,0.0737227,-0.0199692,0.1
-2.79916,0,0.1,0,0.0724661,-0.0194652,0.1
-2.79602,0,0.1,0,0.0712095,-0.0188506,0.1
-2.79288,0,0.1,0,0.0699528,-0.0181288,0.1
-2.78973,0,0.1,0,0.0686962,-0.0173042,0.1
-2.78659,0,0.1,0,0.0674395,-0.016381,0.1
-2.78345,0,0.1,0,0.0661829,-0.0153649,0.1
-2.78031,0,0.1,0,0.0649263,-0.0142615,0.1
-2.77717,0,0.1,0,0.0636696,-0.0130769,0.1
-2.77403,0,0.1,0,0.062413,-0.0118181,0.1
