# scenario=haptic-spring
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.259987,0.888177,2.77627,1.09341,-0.0588432,0.0615701,-0.742969,-0.744189
0.260987,0.891245,2.87819,1.09663,-0.0592311,0.061616,-0.747867,-0.741271
0.261987,0.894313,2.97708,1.09984,-0.0596129,0.0616587,-0.752689,-0.744515
0.262987,0.895847,2.59656,1.10304,-0.058944,0.0621584,-0.744242,-0.748852
0.263988,0.898915,2.69655,1.10623,-0.059328,0.0621945,-0.749091,-0.750207
0.264988,0.901983,2.81941,1.10941,-0.0597578,0.0622274,-0.754518,-0.747748
0.265988,0.905051,2.91001,1.11257,-0.0601231,0.062257,-0.75913,-0.752357
0.266988,0.906585,2.54711,1.11573,-0.0594893,0.0627435,-0.751128,-0.755647
0.267988,0.909653,2.66009,1.11888,-0.0598994,0.0627666,-0.756305,-0.757306
0.268988,0.912721,2.79253,1.12201,-0.0603483,0.0627862,-0.761974,-0.755111
0.269989,0.915789,2.91391,1.12513,-0.0607752,0.0628026,-0.767363,-0.758978
0.270989,0.917323,2.54999,1.12824,-0.0601394,0.0632759,-0.759335,-0.763782
0.271989,0.920391,2.66221,1.13134,-0.0605479,0.0632856,-0.764493,-0.765478
0.272989,0.923459,2.79409,1.13443,-0.0609957,0.0632919,-0.770148,-0.76327
0.273989,0.924993,2.46164,1.13751,-0.0604229,0.0637551,-0.762915,-0.767181
0.274989,0.928061,2.59707,1.14058,-0.0608778,0.0637547,-0.768659,-0.769455
0.27599,0.931129,2.74606,1.14363,-0.0613598,0.063751,-0.774745,-0.767722
0.27699,0.932663,2.42622,1.14668,-0.0608122,0.064204,-0.767831,-0.771989
0.27799,0.935731,2.57095,1.14971,-0.0612857,0.0641935,-0.77381,-0.774524
0.27899,0.938799,2.67767,1.15273,-0.0616833,0.0641795,-0.778829,-0.779693
0.27999,0.941867,2.80549,1.15574,-0.062123,0.0641622,-0.784381,-0.777494
0.28099,0.943401,2.47004,1.15874,-0.0615441,0.0646016,-0.777072,-0.781328
0.281991,0.946469,2.60326,1.16173,-0.0619946,0.0645773,-0.782761,-0.783536
0.282991,0.948003,2.2972,1.1647,-0.0614746,0.0650099,-0.776194,-0.781812
0.283991,0.951071,2.47582,1.16767,-0.0620159,0.0649788,-0.783029,-0.78352
0.284991,0.954139,2.65665,1.17062,-0.0625616,0.0649442,-0.789919,-0.782605
0.285991,0.955673,2.3603,1.17356,-0.062061,0.0653664,-0.783598,-0.787527
0.286991,0.958741,2.52234,1.17649,-0.0625691,0.0653249,-0.790014,-0.790547
0.287992,0.961809,2.69096,1.17941,-0.0630904,0.0652799,-0.796596,-0.789362
0.288992,0.963343,2.38559,1.18231,-0.0625717,0.0656916,-0.790047,-0.794034
0.289992,0.966411,2.54099,1.18521,-0.0630666,0.0656396,-0.796296,-0.796864
0.290992,0.967945,2.27501,1.18809,-0.0626267,0.0660443,-0.790741,-0.794669
0.291992,0.971013,2.45946,1.19096,-0.0631797,0.0659853,-0.797723,-0.798073
0.292992,0.974081,2.64459,1.19382,-0.063734,0.0659227,-0.804722,-0.797335
0.293993,0.975614,2.3514,1.19667,-0.0632397,0.0663169,-0.798481,-0.802349
0.294993,0.978682,2.54259,1.19951,-0.0638061,0.0662472,-0.805633,-0.798869
0.295993,0.980216,2.27619,1.20233,-0.0633654,0.0666342,-0.800068,-0.803764
0.296993,0.983284,2.46032,1.20514,-0.0639177,0.0665575,-0.807042,-0.807358
0.297993,0.984818,2.1918,1.20794,-0.0634727,0.0669374,-0.801423,-0.806684
0.298993,0.987886,2.3981,1.21073,-0.0640694,0.0668535,-0.808957,-0.809168
0.299994,0.990954,2.59935,1.21351,-0.064656,0.066766,-0.816363,-0.808821
0.300994,0.992488,2.34326,1.21627,-0.0642358,0.0671352,-0.811058,-0.811508
0.301994,0.995556,2.55891,1.21902,-0.0648512,0.0670405,-0.818828,-0.811185
